﻿Store,FuelPrice,StoreSize,WeekAvgTemp,Unemployment,Sales,SalesPerSqFt
1.00,3.14,151315.00,42.00,7.43,22911.00,0.15
1.00,3.18,151315.00,51.00,7.43,23428.00,0.15
1.00,3.24,151315.00,55.00,7.43,20233.00,0.13
1.00,3.31,151315.00,54.00,7.43,22415.00,0.15
1.00,3.37,151315.00,58.00,7.43,20989.00,0.14
1.00,3.40,151315.00,62.00,7.43,21900.00,0.14
1.00,3.41,151315.00,60.00,7.43,21706.00,0.14
1.00,3.43,151315.00,63.00,7.24,21057.00,0.14
1.00,3.45,151315.00,66.00,7.24,22736.00,0.15
1.00,3.47,151315.00,68.00,7.24,21970.00,0.15
1.00,3.46,151315.00,66.00,7.24,21734.00,0.14
1.00,3.43,151315.00,70.00,7.54,20787.00,0.14
1.00,3.46,151315.00,69.00,7.54,22949.00,0.15
1.00,3.46,151315.00,73.00,7.54,21983.00,0.15
1.00,3.45,151315.00,75.00,7.54,19836.00,0.13
1.00,3.38,151315.00,79.00,7.54,20649.00,0.14
1.00,3.32,151315.00,80.00,7.54,23358.00,0.15
1.00,3.29,151315.00,81.00,7.54,22380.00,0.15
1.00,3.27,151315.00,83.00,7.54,21279.00,0.14
1.00,3.26,151315.00,84.00,7.54,20265.00,0.13
1.00,3.21,151315.00,82.00,7.55,21573.00,0.14
1.00,3.19,151315.00,82.00,7.55,21926.00,0.14
1.00,3.27,151315.00,83.00,7.55,20787.00,0.14
1.00,3.32,151315.00,83.00,7.55,20245.00,0.13
1.00,3.25,151315.00,85.00,7.55,19597.00,0.13
1.00,3.27,151315.00,88.00,7.55,22879.00,0.15
1.00,3.30,151315.00,88.00,7.55,21481.00,0.14
1.00,3.28,151315.00,85.00,7.55,21261.00,0.14
1.00,3.26,151315.00,85.00,7.55,19793.00,0.13
1.00,3.28,151315.00,84.00,7.55,21236.00,0.14
1.00,3.28,151315.00,77.00,7.55,21395.00,0.14
1.00,3.28,151315.00,77.00,7.55,21328.00,0.14
1.00,3.25,151315.00,78.00,7.55,19167.00,0.13
1.00,3.19,151315.00,73.00,7.46,19369.00,0.13
1.00,3.17,151315.00,65.00,7.43,22653.00,0.15
1.00,3.20,151315.00,69.00,7.43,20743.00,0.14
1.00,3.19,151315.00,68.00,7.43,20869.00,0.14
1.00,3.16,151315.00,64.00,7.43,20073.00,0.13
1.00,3.11,151315.00,58.00,7.43,23573.00,0.16
1.00,3.09,151315.00,57.00,7.43,22152.00,0.15
1.00,3.10,151315.00,57.00,7.43,21382.00,0.14
1.00,3.06,151315.00,59.00,7.43,27854.00,0.18
1.00,3.03,151315.00,54.00,7.43,21700.00,0.14
1.00,3.06,151315.00,46.00,7.43,24653.00,0.16
1.00,3.04,151315.00,52.00,7.43,26127.00,0.17
1.00,3.04,151315.00,48.00,7.43,30678.00,0.20
1.00,3.04,151315.00,46.00,7.85,20513.00,0.14
1.00,3.16,151315.00,45.00,6.94,21533.00,0.14
1.00,3.16,151315.00,49.00,7.21,20558.00,0.14
1.00,3.16,151315.00,44.00,7.21,19101.00,0.13
1.00,3.18,151315.00,51.00,7.21,18848.00,0.12
1.00,3.20,151315.00,52.00,7.21,22727.00,0.15
1.00,3.10,151315.00,47.00,7.43,24691.00,0.16
1.00,3.14,151315.00,42.00,7.43,24930.00,0.16
1.00,3.18,151315.00,51.00,7.43,21380.00,0.14
1.00,3.24,151315.00,55.00,7.43,23450.00,0.15
1.00,3.31,151315.00,54.00,7.43,23598.00,0.16
1.00,3.37,151315.00,58.00,7.43,23298.00,0.15
1.00,3.40,151315.00,62.00,7.43,21283.00,0.14
1.00,3.41,151315.00,60.00,7.43,23234.00,0.15
1.00,3.43,151315.00,63.00,7.24,26384.00,0.17
1.00,3.45,151315.00,66.00,7.24,22831.00,0.15
1.00,3.47,151315.00,68.00,7.24,21431.00,0.14
1.00,3.46,151315.00,66.00,7.24,20689.00,0.14
1.00,3.43,151315.00,70.00,7.54,23726.00,0.16
1.00,3.46,151315.00,69.00,7.54,22691.00,0.15
1.00,3.46,151315.00,73.00,7.54,22799.00,0.15
1.00,3.45,151315.00,75.00,7.54,21908.00,0.14
1.00,3.38,151315.00,79.00,7.54,22880.00,0.15
1.00,3.32,151315.00,80.00,7.54,23573.00,0.16
1.00,3.29,151315.00,81.00,7.54,22966.00,0.15
1.00,3.27,151315.00,83.00,7.54,21519.00,0.14
1.00,3.26,151315.00,84.00,7.54,22325.00,0.15
1.00,3.21,151315.00,82.00,7.55,25284.00,0.17
1.00,3.19,151315.00,82.00,7.55,21507.00,0.14
1.00,3.27,151315.00,83.00,7.55,20805.00,0.14
1.00,3.32,151315.00,83.00,7.55,19988.00,0.13
1.00,3.25,151315.00,85.00,7.55,22974.00,0.15
1.00,3.27,151315.00,88.00,7.55,22117.00,0.15
1.00,3.30,151315.00,88.00,7.55,22193.00,0.15
1.00,3.28,151315.00,85.00,7.55,21044.00,0.14
1.00,3.26,151315.00,85.00,7.55,21973.00,0.15
1.00,3.28,151315.00,84.00,7.55,22764.00,0.15
1.00,3.28,151315.00,77.00,7.55,21075.00,0.14
1.00,3.28,151315.00,77.00,7.55,21213.00,0.14
1.00,3.25,151315.00,78.00,7.55,19686.00,0.13
1.00,3.19,151315.00,73.00,7.46,23205.00,0.15
1.00,3.17,151315.00,65.00,7.43,21549.00,0.14
1.00,3.20,151315.00,69.00,7.43,21240.00,0.14
1.00,3.19,151315.00,68.00,7.43,20745.00,0.14
2.00,3.10,202307.00,45.00,7.41,29274.00,0.14
2.00,3.14,202307.00,41.00,7.41,29692.00,0.15
2.00,3.18,202307.00,50.00,7.41,29102.00,0.14
2.00,3.24,202307.00,53.00,7.41,25549.00,0.13
2.00,3.31,202307.00,53.00,7.41,27274.00,0.13
2.00,3.37,202307.00,57.00,7.41,27646.00,0.14
2.00,3.40,202307.00,60.00,7.41,26659.00,0.13
2.00,3.41,202307.00,60.00,7.41,23975.00,0.12
2.00,3.43,202307.00,61.00,7.28,28697.00,0.14
2.00,3.45,202307.00,65.00,7.28,27148.00,0.13
2.00,3.47,202307.00,68.00,7.28,26408.00,0.13
2.00,3.46,202307.00,65.00,7.28,25662.00,0.13
2.00,3.43,202307.00,70.00,7.67,25387.00,0.13
2.00,3.46,202307.00,68.00,7.67,27981.00,0.14
2.00,3.46,202307.00,72.00,7.67,26489.00,0.13
2.00,3.45,202307.00,74.00,7.67,26717.00,0.13
2.00,3.38,202307.00,78.00,7.67,27959.00,0.14
2.00,3.32,202307.00,80.00,7.67,30036.00,0.15
2.00,3.29,202307.00,82.00,7.67,28529.00,0.14
2.00,3.27,202307.00,84.00,7.67,28595.00,0.14
2.00,3.26,202307.00,86.00,7.67,27323.00,0.14
2.00,3.21,202307.00,83.00,7.51,28225.00,0.14
2.00,3.19,202307.00,84.00,7.51,27259.00,0.13
2.00,3.27,202307.00,84.00,7.51,26752.00,0.13
2.00,3.32,202307.00,87.00,7.51,25095.00,0.12
2.00,3.25,202307.00,88.00,7.51,25059.00,0.12
2.00,3.27,202307.00,90.00,7.51,28456.00,0.14
2.00,3.30,202307.00,88.00,7.51,26699.00,0.13
2.00,3.28,202307.00,85.00,7.51,28062.00,0.14
2.00,3.26,202307.00,87.00,7.51,26251.00,0.13
2.00,3.28,202307.00,86.00,7.51,26825.00,0.13
2.00,3.28,202307.00,78.00,7.51,25543.00,0.13
2.00,3.28,202307.00,77.00,7.51,25266.00,0.12
2.00,3.25,202307.00,79.00,7.51,24290.00,0.12
2.00,3.19,202307.00,73.00,7.39,25739.00,0.13
2.00,3.17,202307.00,65.00,7.26,25693.00,0.13
2.00,3.20,202307.00,69.00,7.26,25273.00,0.12
2.00,3.19,202307.00,68.00,7.26,24478.00,0.12
2.00,3.16,202307.00,63.00,7.26,25038.00,0.12
2.00,3.11,202307.00,58.00,7.26,27701.00,0.14
2.00,3.09,202307.00,57.00,7.26,26997.00,0.13
2.00,3.10,202307.00,57.00,7.26,27177.00,0.13
2.00,3.06,202307.00,57.00,7.26,36927.00,0.18
2.00,3.03,202307.00,54.00,7.26,27613.00,0.14
2.00,3.06,202307.00,45.00,7.26,33503.00,0.17
2.00,3.04,202307.00,51.00,7.26,36238.00,0.18
2.00,3.04,202307.00,46.00,7.26,47069.00,0.23
2.00,3.04,202307.00,46.00,7.80,24312.00,0.12
2.00,3.16,202307.00,46.00,7.11,24417.00,0.12
2.00,3.16,202307.00,42.00,7.11,23893.00,0.12
2.00,3.18,202307.00,48.00,7.11,24325.00,0.12
2.00,3.20,202307.00,51.00,7.11,23547.00,0.12
2.00,3.10,202307.00,45.00,7.41,26796.00,0.13
2.00,3.14,202307.00,41.00,7.41,30112.00,0.15
2.00,3.18,202307.00,50.00,7.41,28505.00,0.14
2.00,3.24,202307.00,53.00,7.41,25824.00,0.13
2.00,3.31,202307.00,53.00,7.41,27145.00,0.13
2.00,3.37,202307.00,57.00,7.41,25741.00,0.13
2.00,3.40,202307.00,60.00,7.41,26424.00,0.13
2.00,3.41,202307.00,60.00,7.41,24530.00,0.12
2.00,3.43,202307.00,61.00,7.28,25355.00,0.13
2.00,3.45,202307.00,65.00,7.28,25660.00,0.13
2.00,3.47,202307.00,68.00,7.28,26147.00,0.13
2.00,3.46,202307.00,65.00,7.28,26568.00,0.13
2.00,3.43,202307.00,70.00,7.67,24244.00,0.12
2.00,3.46,202307.00,68.00,7.67,25175.00,0.12
2.00,3.46,202307.00,72.00,7.67,25185.00,0.12
2.00,3.45,202307.00,74.00,7.67,24118.00,0.12
2.00,3.38,202307.00,78.00,7.67,25320.00,0.13
2.00,3.32,202307.00,80.00,7.67,26490.00,0.13
2.00,3.29,202307.00,82.00,7.67,27171.00,0.13
2.00,3.27,202307.00,84.00,7.67,27136.00,0.13
2.00,3.26,202307.00,86.00,7.67,25585.00,0.13
2.00,3.21,202307.00,83.00,7.51,26661.00,0.13
2.00,3.19,202307.00,84.00,7.51,26474.00,0.13
2.00,3.27,202307.00,84.00,7.51,25503.00,0.13
2.00,3.32,202307.00,87.00,7.51,24561.00,0.12
2.00,3.25,202307.00,88.00,7.51,24010.00,0.12
2.00,3.27,202307.00,90.00,7.51,26810.00,0.13
2.00,3.30,202307.00,88.00,7.51,25532.00,0.13
2.00,3.28,202307.00,85.00,7.51,25973.00,0.13
2.00,3.26,202307.00,87.00,7.51,25294.00,0.13
2.00,3.28,202307.00,86.00,7.51,25127.00,0.12
2.00,3.28,202307.00,78.00,7.51,24278.00,0.12
2.00,3.28,202307.00,77.00,7.51,23492.00,0.12
2.00,3.25,202307.00,79.00,7.51,23185.00,0.11
2.00,3.19,202307.00,73.00,7.39,23245.00,0.11
2.00,3.17,202307.00,65.00,7.26,25881.00,0.13
2.00,3.20,202307.00,69.00,7.26,24562.00,0.12
2.00,3.19,202307.00,68.00,7.26,25841.00,0.13
2.00,3.16,202307.00,63.00,7.26,24574.00,0.12
2.00,3.11,202307.00,58.00,7.26,27602.00,0.14
2.00,3.09,202307.00,57.00,7.26,26677.00,0.13
2.00,3.10,202307.00,57.00,7.26,26065.00,0.13
2.00,3.06,202307.00,57.00,7.26,35811.00,0.18
2.00,3.03,202307.00,54.00,7.26,27535.00,0.14
2.00,3.06,202307.00,45.00,7.26,31377.00,0.16
2.00,3.04,202307.00,51.00,7.26,33325.00,0.16
2.00,3.04,202307.00,46.00,7.26,43573.00,0.22
2.00,3.04,202307.00,46.00,7.80,25674.00,0.13
2.00,3.16,202307.00,43.00,6.65,24993.00,0.12
2.00,3.16,202307.00,46.00,7.11,24574.00,0.12
2.00,3.16,202307.00,42.00,7.11,23775.00,0.12
2.00,3.18,202307.00,48.00,7.11,23068.00,0.11
2.00,3.20,202307.00,51.00,7.11,26511.00,0.13
2.00,3.10,202307.00,45.00,7.41,28813.00,0.14
2.00,3.14,202307.00,41.00,7.41,30092.00,0.15
2.00,3.18,202307.00,50.00,7.41,26223.00,0.13
2.00,3.24,202307.00,53.00,7.41,27119.00,0.13
2.00,3.31,202307.00,53.00,7.41,27291.00,0.13
2.00,3.37,202307.00,57.00,7.41,27832.00,0.14
2.00,3.40,202307.00,60.00,7.41,25217.00,0.12
2.00,3.41,202307.00,60.00,7.41,26162.00,0.13
2.00,3.43,202307.00,61.00,7.28,29165.00,0.14
2.00,3.45,202307.00,65.00,7.28,26519.00,0.13
2.00,3.47,202307.00,68.00,7.28,25658.00,0.13
2.00,3.46,202307.00,65.00,7.28,24847.00,0.12
2.00,3.43,202307.00,70.00,7.67,27098.00,0.13
2.00,3.46,202307.00,68.00,7.67,26632.00,0.13
2.00,3.46,202307.00,72.00,7.67,28182.00,0.14
2.00,3.45,202307.00,74.00,7.67,27326.00,0.14
2.00,3.38,202307.00,78.00,7.67,26903.00,0.13
2.00,3.32,202307.00,80.00,7.67,28313.00,0.14
2.00,3.29,202307.00,82.00,7.67,28042.00,0.14
2.00,3.27,202307.00,84.00,7.67,26588.00,0.13
2.00,3.26,202307.00,86.00,7.67,26494.00,0.13
2.00,3.21,202307.00,83.00,7.51,28354.00,0.14
2.00,3.19,202307.00,84.00,7.51,26144.00,0.13
2.00,3.27,202307.00,84.00,7.51,25273.00,0.12
2.00,3.32,202307.00,87.00,7.51,24081.00,0.12
2.00,3.25,202307.00,88.00,7.51,27029.00,0.13
2.00,3.27,202307.00,90.00,7.51,25927.00,0.13
2.00,3.30,202307.00,88.00,7.51,26411.00,0.13
2.00,3.28,202307.00,85.00,7.51,26434.00,0.13
2.00,3.26,202307.00,87.00,7.51,26672.00,0.13
2.00,3.28,202307.00,86.00,7.51,26743.00,0.13
2.00,3.28,202307.00,78.00,7.51,25206.00,0.12
2.00,3.28,202307.00,77.00,7.51,25766.00,0.13
2.00,3.25,202307.00,79.00,7.51,24257.00,0.12
2.00,3.19,202307.00,73.00,7.39,27754.00,0.14
2.00,3.17,202307.00,65.00,7.26,26038.00,0.13
2.00,3.20,202307.00,69.00,7.26,26028.00,0.13
2.00,3.19,202307.00,68.00,7.26,25837.00,0.13
3.00,3.10,37392.00,52.00,6.96,7102.00,0.19
3.00,3.14,37392.00,50.00,6.96,6574.00,0.18
3.00,3.18,37392.00,57.00,6.96,6487.00,0.17
3.00,3.24,37392.00,59.00,6.96,6464.00,0.17
3.00,3.31,37392.00,59.00,6.96,6591.00,0.18
3.00,3.37,37392.00,63.00,6.96,6003.00,0.16
3.00,3.40,37392.00,67.00,6.96,5774.00,0.15
3.00,3.41,37392.00,65.00,6.96,5713.00,0.15
3.00,3.43,37392.00,68.00,6.90,6614.00,0.18
3.00,3.45,37392.00,70.00,6.90,6498.00,0.17
3.00,3.47,37392.00,72.00,6.90,5461.00,0.15
3.00,3.46,37392.00,71.00,6.90,5312.00,0.14
3.00,3.43,37392.00,75.00,7.19,5473.00,0.15
3.00,3.46,37392.00,72.00,7.19,6338.00,0.17
3.00,3.46,37392.00,76.00,7.19,6006.00,0.16
3.00,3.45,37392.00,78.00,7.19,5545.00,0.15
3.00,3.38,37392.00,81.00,7.19,5647.00,0.15
3.00,3.32,37392.00,81.00,7.19,6403.00,0.17
3.00,3.29,37392.00,83.00,7.19,5635.00,0.15
3.00,3.27,37392.00,84.00,7.19,5779.00,0.15
3.00,3.26,37392.00,85.00,7.19,5764.00,0.15
3.00,3.21,37392.00,83.00,7.08,6248.00,0.17
3.00,3.19,37392.00,84.00,7.08,5543.00,0.15
3.00,3.27,37392.00,83.00,7.08,5782.00,0.15
3.00,3.32,37392.00,85.00,7.08,5601.00,0.15
3.00,3.25,37392.00,86.00,7.08,5523.00,0.15
3.00,3.27,37392.00,86.00,7.08,6391.00,0.17
3.00,3.30,37392.00,88.00,7.08,5660.00,0.15
3.00,3.28,37392.00,86.00,7.08,5673.00,0.15
3.00,3.26,37392.00,86.00,7.08,5748.00,0.15
3.00,3.28,37392.00,86.00,7.08,5817.00,0.16
3.00,3.28,37392.00,80.00,7.08,5591.00,0.15
3.00,3.28,37392.00,80.00,7.08,5856.00,0.16
3.00,3.25,37392.00,78.00,7.08,5471.00,0.15
3.00,3.19,37392.00,76.00,7.05,5787.00,0.15
3.00,3.17,37392.00,71.00,6.93,6373.00,0.17
3.00,3.20,37392.00,72.00,6.93,5485.00,0.15
3.00,3.19,37392.00,72.00,6.93,5538.00,0.15
3.00,3.16,37392.00,68.00,6.93,5447.00,0.15
3.00,3.11,37392.00,64.00,6.93,6717.00,0.18
3.00,3.09,37392.00,62.00,6.93,6041.00,0.16
3.00,3.10,37392.00,61.00,6.93,5821.00,0.16
3.00,3.06,37392.00,65.00,6.93,8977.00,0.24
3.00,3.03,37392.00,58.00,6.93,7562.00,0.20
3.00,3.06,37392.00,52.00,6.93,7307.00,0.20
3.00,3.04,37392.00,57.00,6.93,7664.00,0.20
3.00,3.04,37392.00,54.00,6.93,9469.00,0.25
3.00,3.04,37392.00,51.00,7.38,6172.00,0.17
3.00,3.16,37392.00,52.00,6.83,6004.00,0.16
3.00,3.16,37392.00,50.00,6.83,6146.00,0.16
3.00,3.18,37392.00,56.00,6.83,5569.00,0.15
3.00,3.20,37392.00,57.00,6.83,5792.00,0.15
3.00,3.10,37392.00,52.00,6.96,6961.00,0.19
3.00,3.14,37392.00,50.00,6.96,6944.00,0.19
3.00,3.18,37392.00,57.00,6.96,6870.00,0.18
3.00,3.24,37392.00,59.00,6.96,6305.00,0.17
3.00,3.31,37392.00,59.00,6.96,6938.00,0.19
3.00,3.37,37392.00,63.00,6.96,6425.00,0.17
3.00,3.40,37392.00,67.00,6.96,6224.00,0.17
3.00,3.41,37392.00,65.00,6.96,6043.00,0.16
3.00,3.43,37392.00,68.00,6.90,5945.00,0.16
3.00,3.45,37392.00,70.00,6.90,6096.00,0.16
3.00,3.47,37392.00,72.00,6.90,6004.00,0.16
3.00,3.46,37392.00,71.00,6.89,6220.00,0.17
3.00,3.43,37392.00,75.00,7.19,5926.00,0.16
3.00,3.46,37392.00,72.00,7.19,6454.00,0.17
3.00,3.46,37392.00,76.00,7.19,6132.00,0.16
3.00,3.45,37392.00,78.00,7.19,5697.00,0.15
3.00,3.38,37392.00,81.00,7.19,5771.00,0.15
3.00,3.32,37392.00,81.00,7.19,6262.00,0.17
3.00,3.29,37392.00,83.00,7.19,6317.00,0.17
3.00,3.27,37392.00,84.00,7.19,6613.00,0.18
3.00,3.26,37392.00,85.00,7.19,6218.00,0.17
3.00,3.21,37392.00,83.00,7.08,6149.00,0.16
3.00,3.19,37392.00,84.00,7.08,6373.00,0.17
3.00,3.27,37392.00,83.00,7.08,5928.00,0.16
3.00,3.32,37392.00,85.00,7.08,5912.00,0.16
3.00,3.25,37392.00,86.00,7.08,5482.00,0.15
3.00,3.27,37392.00,86.00,7.08,6721.00,0.18
3.00,3.30,37392.00,88.00,7.08,6135.00,0.16
3.00,3.28,37392.00,86.00,7.08,6225.00,0.17
3.00,3.26,37392.00,86.00,7.08,6006.00,0.16
3.00,3.28,37392.00,86.00,7.08,6064.00,0.16
3.00,3.28,37392.00,80.00,7.08,6186.00,0.17
3.00,3.28,37392.00,80.00,7.08,5962.00,0.16
3.00,3.25,37392.00,78.00,7.08,5798.00,0.16
3.00,3.19,37392.00,76.00,7.05,5943.00,0.16
3.00,3.17,37392.00,71.00,6.93,6302.00,0.17
3.00,3.20,37392.00,72.00,6.93,5754.00,0.15
3.00,3.19,37392.00,72.00,6.93,6172.00,0.17
3.00,3.16,37392.00,68.00,6.93,5902.00,0.16
3.00,3.11,37392.00,64.00,6.93,7068.00,0.19
3.00,3.09,37392.00,62.00,6.93,6273.00,0.17
3.00,3.10,37392.00,61.00,6.93,6232.00,0.17
3.00,3.06,37392.00,65.00,6.93,8568.00,0.23
3.00,3.03,37392.00,58.00,6.93,7159.00,0.19
3.00,3.06,37392.00,52.00,6.93,7103.00,0.19
3.00,3.04,37392.00,57.00,6.93,7739.00,0.21
3.00,3.04,37392.00,54.00,6.93,8352.00,0.22
3.00,3.04,37392.00,51.00,7.38,6316.00,0.17
3.00,3.16,37392.00,49.00,6.47,6222.00,0.17
3.00,3.16,37392.00,52.00,6.83,5832.00,0.16
3.00,3.16,37392.00,50.00,6.83,5628.00,0.15
3.00,3.18,37392.00,56.00,6.83,5461.00,0.15
3.00,3.20,37392.00,57.00,6.83,6640.00,0.18
3.00,3.10,37392.00,52.00,6.96,7395.00,0.20
3.00,3.14,37392.00,50.00,6.96,7206.00,0.19
3.00,3.18,37392.00,57.00,6.96,6757.00,0.18
3.00,3.24,37392.00,59.00,6.96,7340.00,0.20
3.00,3.31,37392.00,59.00,6.96,6956.00,0.19
3.00,3.37,37392.00,63.00,6.96,6335.00,0.17
3.00,3.40,37392.00,67.00,6.96,6570.00,0.18
3.00,3.41,37392.00,65.00,6.96,6468.00,0.17
3.00,3.43,37392.00,68.00,6.90,7988.00,0.21
3.00,3.45,37392.00,70.00,6.90,6474.00,0.17
3.00,3.47,37392.00,72.00,6.90,6794.00,0.18
3.00,3.46,37392.00,71.00,6.90,6264.00,0.17
3.00,3.43,37392.00,75.00,7.19,7095.00,0.19
3.00,3.46,37392.00,72.00,7.19,6857.00,0.18
3.00,3.46,37392.00,76.00,7.19,6533.00,0.17
3.00,3.45,37392.00,78.00,7.19,6567.00,0.18
3.00,3.38,37392.00,81.00,7.19,6861.00,0.18
3.00,3.32,37392.00,81.00,7.19,7199.00,0.19
3.00,3.29,37392.00,83.00,7.19,7017.00,0.19
3.00,3.27,37392.00,84.00,7.19,6766.00,0.18
3.00,3.26,37392.00,85.00,7.19,6934.00,0.19
3.00,3.21,37392.00,83.00,7.08,6527.00,0.17
3.00,3.19,37392.00,84.00,7.08,6724.00,0.18
3.00,3.27,37392.00,83.00,7.08,6864.00,0.18
3.00,3.32,37392.00,85.00,7.08,6281.00,0.17
3.00,3.25,37392.00,86.00,7.08,6667.00,0.18
3.00,3.27,37392.00,86.00,7.08,6219.00,0.17
3.00,3.30,37392.00,88.00,7.08,6370.00,0.17
3.00,3.28,37392.00,86.00,7.08,6547.00,0.18
3.00,3.26,37392.00,86.00,7.08,6594.00,0.18
3.00,3.28,37392.00,86.00,7.08,6379.00,0.17
3.00,3.28,37392.00,80.00,7.08,6574.00,0.18
3.00,3.28,37392.00,80.00,7.08,6578.00,0.18
3.00,3.25,37392.00,78.00,7.08,6091.00,0.16
3.00,3.19,37392.00,76.00,7.06,6931.00,0.19
3.00,3.17,37392.00,71.00,6.93,6320.00,0.17
3.00,3.20,37392.00,72.00,6.93,6633.00,0.18
3.00,3.19,37392.00,72.00,6.93,6335.00,0.17
4.00,3.10,205863.00,40.00,5.92,29249.00,0.14
4.00,3.14,205863.00,35.00,5.92,29177.00,0.14
4.00,3.19,205863.00,43.00,5.92,28080.00,0.14
4.00,3.25,205863.00,46.00,5.92,26023.00,0.13
4.00,3.32,205863.00,49.00,5.92,27376.00,0.13
4.00,3.37,205863.00,53.00,5.92,25950.00,0.13
4.00,3.40,205863.00,56.00,5.92,25641.00,0.12
4.00,3.41,205863.00,56.00,5.92,24144.00,0.12
4.00,3.42,205863.00,58.00,5.51,27113.00,0.13
4.00,3.44,205863.00,61.00,5.51,24910.00,0.12
4.00,3.46,205863.00,63.00,5.51,25363.00,0.12
4.00,3.45,205863.00,65.00,5.51,24361.00,0.12
4.00,3.42,205863.00,65.00,6.05,25595.00,0.12
4.00,3.44,205863.00,63.00,6.05,28178.00,0.14
4.00,3.44,205863.00,68.00,6.05,25693.00,0.12
4.00,3.43,205863.00,73.00,6.05,26813.00,0.13
4.00,3.36,205863.00,74.00,6.05,26536.00,0.13
4.00,3.31,205863.00,76.00,6.05,27190.00,0.13
4.00,3.27,205863.00,80.00,6.05,26723.00,0.13
4.00,3.26,205863.00,81.00,6.05,27179.00,0.13
4.00,3.23,205863.00,83.00,6.05,26009.00,0.13
4.00,3.19,205863.00,79.00,5.70,26130.00,0.13
4.00,3.17,205863.00,81.00,5.70,25524.00,0.12
4.00,3.24,205863.00,79.00,5.70,26738.00,0.13
4.00,3.29,205863.00,81.00,5.70,25321.00,0.12
4.00,3.23,205863.00,83.00,5.70,24953.00,0.12
4.00,3.26,205863.00,82.00,5.70,26868.00,0.13
4.00,3.29,205863.00,81.00,5.70,28268.00,0.14
4.00,3.28,205863.00,79.00,5.70,28129.00,0.14
4.00,3.26,205863.00,77.00,5.70,25321.00,0.12
4.00,3.28,205863.00,79.00,5.70,27266.00,0.13
4.00,3.28,205863.00,72.00,5.70,25559.00,0.12
4.00,3.28,205863.00,69.00,5.70,26388.00,0.13
4.00,3.26,205863.00,67.00,5.70,25148.00,0.12
